178.07	178.07	176.63
183.36	183.36	184.02
174.53	174.53	188.61
179.72	179.72	180.12
179.92	179.92	179.92
179.05	179.05	179.4
182.3	182.3	181.3
178.3	178.3	178.4
180.69	180.69	180.77
180.08	180.08	180.4
180.23	180.23	180.13
185.14	185.14	177.77
188.3	188.3	195.5
179.6	179.6	180.3
179.8	179.8	181.1
188.3	188.3	195.5
179.71	179.71	179.7
180	180	182.5
193.21	193.21	131.14
201.3	201.3	213.4
203.3	203.3	207.3
179.29	179.29	178.91
179.24	179.24	179.15
180	180	179.9
180.2	180.2	180.3
179.8	179.8	181.1
180.1	180.1	180.5
180.2	180.2	180.2
192.8	192.8	196.2
179.2	179.2	179.9
182.86	182.86	182.34
193.21	193.21	131.14
